_time,_value,_field,srsue_data_id
2025-01-29T20:29:33.052363367Z,20.68,sinr,ue1_uhd
2025-01-29T20:29:33.532829367Z,20.7,sinr,ue1_uhd
2025-01-29T20:29:34.013375367Z,20.5,sinr,ue1_uhd
2025-01-29T20:29:34.493548367Z,20.68,sinr,ue1_uhd
2025-01-29T20:29:34.974368367Z,20.4,sinr,ue1_uhd
2025-01-29T20:29:35.454612367Z,20.57,sinr,ue1_uhd
2025-01-29T20:29:35.935282367Z,20.87,sinr,ue1_uhd
2025-01-29T20:29:36.415531367Z,20.74,sinr,ue1_uhd
2025-01-29T20:29:36.896326367Z,20.66,sinr,ue1_uhd
2025-01-29T20:29:37.376192367Z,20.8,sinr,ue1_uhd
2025-01-29T20:29:37.856341367Z,20.72,sinr,ue1_uhd
2025-01-29T20:29:38.336706367Z,20.62,sinr,ue1_uhd
2025-01-29T20:29:38.816990367Z,20.5,sinr,ue1_uhd
2025-01-29T20:29:39.297323367Z,20.68,sinr,ue1_uhd
2025-01-29T20:29:39.777667367Z,20.69,sinr,ue1_uhd
2025-01-29T20:29:40.257855367Z,20.66,sinr,ue1_uhd
2025-01-29T20:29:40.738361367Z,20.65,sinr,ue1_uhd
2025-01-29T20:29:41.218019367Z,20.78,sinr,ue1_uhd
2025-01-29T20:29:41.697603367Z,20.73,sinr,ue1_uhd
2025-01-29T20:29:42.178260367Z,20.7,sinr,ue1_uhd
2025-01-29T20:29:42.658621367Z,20.66,sinr,ue1_uhd
2025-01-29T20:29:43.139312367Z,20.7,sinr,ue1_uhd
2025-01-29T20:29:43.620100367Z,20.47,sinr,ue1_uhd
2025-01-29T20:29:44.100594367Z,20.56,sinr,ue1_uhd
2025-01-29T20:29:44.581137367Z,20.37,sinr,ue1_uhd
2025-01-29T20:29:45.061822367Z,20.32,sinr,ue1_uhd
2025-01-29T20:29:45.542747367Z,20.34,sinr,ue1_uhd
2025-01-29T20:29:46.023397367Z,20.25,sinr,ue1_uhd
2025-01-29T20:29:46.504328367Z,20.51,sinr,ue1_uhd
2025-01-29T20:29:46.985120367Z,20.37,sinr,ue1_uhd
2025-01-29T20:29:47.474164367Z,20.45,sinr,ue1_uhd
2025-01-29T20:29:47.954295367Z,20.36,sinr,ue1_uhd
2025-01-29T20:29:48.434131367Z,20.44,sinr,ue1_uhd
2025-01-29T20:29:48.914323367Z,20.42,sinr,ue1_uhd
2025-01-29T20:29:49.395090367Z,20.44,sinr,ue1_uhd
2025-01-29T20:29:49.875875367Z,20.43,sinr,ue1_uhd
2025-01-29T20:29:50.356280367Z,20.53,sinr,ue1_uhd
2025-01-29T20:29:50.836132367Z,20.58,sinr,ue1_uhd
2025-01-29T20:29:51.316882367Z,20.44,sinr,ue1_uhd
2025-01-29T20:29:51.797430367Z,20.45,sinr,ue1_uhd
2025-01-29T20:29:52.277682367Z,20.48,sinr,ue1_uhd
2025-01-29T20:29:52.758131367Z,20.6,sinr,ue1_uhd
2025-01-29T20:29:53.238959367Z,20.46,sinr,ue1_uhd
2025-01-29T20:29:53.719840367Z,20.35,sinr,ue1_uhd
2025-01-29T20:29:54.200011367Z,20.4,sinr,ue1_uhd
2025-01-29T20:29:54.680271367Z,20.43,sinr,ue1_uhd
2025-01-29T20:29:55.160936367Z,20.49,sinr,ue1_uhd
2025-01-29T20:29:55.641520367Z,20.45,sinr,ue1_uhd
2025-01-29T20:29:56.121257367Z,20.46,sinr,ue1_uhd
2025-01-29T20:29:56.601118367Z,20.44,sinr,ue1_uhd
2025-01-29T20:29:57.081275367Z,20.37,sinr,ue1_uhd
2025-01-29T20:29:57.561306367Z,20.42,sinr,ue1_uhd
2025-01-29T20:29:58.042071367Z,20.41,sinr,ue1_uhd
2025-01-29T20:29:58.522596367Z,20.48,sinr,ue1_uhd
2025-01-29T20:29:59.002714367Z,20.45,sinr,ue1_uhd
2025-01-29T20:29:59.483283367Z,20.64,sinr,ue1_uhd
2025-01-29T20:29:59.963663367Z,20.44,sinr,ue1_uhd
2025-01-29T20:30:00.444137367Z,20.56,sinr,ue1_uhd
2025-01-29T20:30:00.924220367Z,20.37,sinr,ue1_uhd
2025-01-29T20:30:01.404801367Z,20.48,sinr,ue1_uhd
2025-01-29T20:30:01.885209367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:02.365323367Z,20.39,sinr,ue1_uhd
2025-01-29T20:30:02.845333367Z,20.63,sinr,ue1_uhd
2025-01-29T20:30:03.325670367Z,20.47,sinr,ue1_uhd
2025-01-29T20:30:03.806161367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:04.286196367Z,20.48,sinr,ue1_uhd
2025-01-29T20:30:04.766071367Z,20.32,sinr,ue1_uhd
2025-01-29T20:30:05.246146367Z,20.47,sinr,ue1_uhd
2025-01-29T20:30:05.725630367Z,20.59,sinr,ue1_uhd
2025-01-29T20:30:06.206017367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:06.686561367Z,20.43,sinr,ue1_uhd
2025-01-29T20:30:07.166598367Z,20.42,sinr,ue1_uhd
2025-01-29T20:30:07.646835367Z,20.42,sinr,ue1_uhd
2025-01-29T20:30:08.126533367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:08.606378367Z,20.67,sinr,ue1_uhd
2025-01-29T20:30:09.086536367Z,20.47,sinr,ue1_uhd
2025-01-29T20:30:09.567045367Z,20.46,sinr,ue1_uhd
2025-01-29T20:30:10.047091367Z,20.39,sinr,ue1_uhd
2025-01-29T20:30:10.527485367Z,20.44,sinr,ue1_uhd
2025-01-29T20:30:11.007487367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:11.487261367Z,20.52,sinr,ue1_uhd
2025-01-29T20:30:11.967561367Z,20.75,sinr,ue1_uhd
2025-01-29T20:30:12.447506367Z,20.55,sinr,ue1_uhd
2025-01-29T20:30:12.927772367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:13.408380367Z,20.64,sinr,ue1_uhd
2025-01-29T20:30:13.888907367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:14.368968367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:14.848928367Z,20.55,sinr,ue1_uhd
2025-01-29T20:30:15.329283367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:15.809416367Z,20.53,sinr,ue1_uhd
2025-01-29T20:30:16.289637367Z,20.46,sinr,ue1_uhd
2025-01-29T20:30:16.770257367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:17.250199367Z,20.44,sinr,ue1_uhd
2025-01-29T20:30:17.729781367Z,20.44,sinr,ue1_uhd
